timestamp,sensorPosition,data_type_name,unit_type,units,value,latitude,longitude,configuration_checksum
2026-05-01T00:05:10.000Z,1,bm_soft_temperature_mean_13bits,temperature,°C,8.82,43.4726667,-70.3608,0x5e54227b
2026-05-01T00:05:10.000Z,2,aanderaa_reading_count_10bits,reading_count,count,4.0,43.4726667,-70.3608,0x5e54227b
2026-05-01T00:05:10.000Z,2,aanderaa_abs_speed_mean_15bits,speed,cm/s,5.5,43.4726667,-70.3608,0x5e54227b
2026-05-01T00:05:10.000Z,2,aanderaa_abs_speed_std_15bits,speed,cm/s,0.52,43.4726667,-70.3608,0x5e54227b
2026-05-01T00:05:10.000Z,2,aanderaa_direction_circ_mean_13bits,direction,rad,4.476,43.4726667,-70.3608,0x5e54227b
2026-05-01T00:05:10.000Z,2,aanderaa_direction_circ_std_13bits,direction,rad,0.261,43.4726667,-70.3608,0x5e54227b
2026-05-01T00:05:10.000Z,3,bm_do_quality_mean_10bits,quality_ratio,unitless,0.916,43.4726667,-70.3608,0x5e54227b
2026-05-01T00:05:10.000Z,2,aanderaa_abs_tilt_mean_8bits,tilt,rad,0.12,43.4726667,-70.3608,0x5e54227b
2026-05-01T00:05:10.000Z,2,aanderaa_temperature_mean_13bits,temperature,°C,8.1,43.4726667,-70.3608,0x5e54227b
2026-05-01T00:05:10.000Z,3,bm_do_mg_per_l_mean_17bits,mass_concentration,mg/L,9.527000000000001,43.4726667,-70.3608,0x5e54227b
2026-05-01T00:05:10.000Z,3,bm_do_salinity_mean_13bits,mass_ratio,parts per thousand,35.0,43.4726667,-70.3608,0x5e54227b
2026-05-01T00:05:10.000Z,3,bm_do_saturation_pct_mean_18bits,percentage,%,101.683,43.4726667,-70.3608,0x5e54227b
2026-05-01T00:05:10.000Z,3,bm_do_temperature_mean_16bits,temperature,°C,7.965,43.4726667,-70.3608,0x5e54227b
2026-05-01T00:05:10.000Z,2,aanderaa_std_tilt_mean_8bits,tilt,rad,0.05,43.4726667,-70.3608,0x5e54227b
2026-05-01T00:35:10.000Z,2,aanderaa_direction_circ_std_13bits,direction,rad,0.724,43.4726667,-70.3608,0x5e54227b
2026-05-01T00:35:10.000Z,2,aanderaa_reading_count_10bits,reading_count,count,5.0,43.4726667,-70.3608,0x5e54227b
