timestamp,sensorPosition,data_type_name,unit_type,units,value,latitude,longitude,configuration_checksum
2026-08-28T00:05:10.000Z,1,bm_soft_temperature_mean_13bits,temperature,°C,17.8,43.4729833,-70.3598,0x5e54227b
2026-08-28T00:05:10.000Z,2,aanderaa_reading_count_10bits,reading_count,count,4.0,43.4729833,-70.3598,0x5e54227b
2026-08-28T00:05:10.000Z,2,aanderaa_abs_speed_mean_15bits,speed,cm/s,13.290000000000001,43.4729833,-70.3598,0x5e54227b
2026-08-28T00:05:10.000Z,2,aanderaa_abs_speed_std_15bits,speed,cm/s,0.72,43.4729833,-70.3598,0x5e54227b
2026-08-28T00:05:10.000Z,2,aanderaa_direction_circ_mean_13bits,direction,rad,4.477,43.4729833,-70.3598,0x5e54227b
2026-08-28T00:05:10.000Z,2,aanderaa_direction_circ_std_13bits,direction,rad,0.059000000000000004,43.4729833,-70.3598,0x5e54227b
2026-08-28T00:05:10.000Z,2,aanderaa_abs_tilt_mean_8bits,tilt,rad,0.11,43.4729833,-70.3598,0x5e54227b
2026-08-28T00:05:10.000Z,2,aanderaa_std_tilt_mean_8bits,tilt,rad,0.02,43.4729833,-70.3598,0x5e54227b
2026-08-28T00:05:10.000Z,2,aanderaa_temperature_mean_13bits,temperature,°C,15.190000000000001,43.4729833,-70.3598,0x5e54227b
2026-08-28T00:05:10.000Z,3,bm_do_quality_mean_10bits,quality_ratio,unitless,0.91,43.4729833,-70.3598,0x5e54227b
2026-08-28T00:05:10.000Z,3,bm_do_salinity_mean_13bits,mass_ratio,parts per thousand,35.0,43.4729833,-70.3598,0x5e54227b
2026-08-28T00:05:10.000Z,3,bm_do_temperature_mean_16bits,temperature,°C,14.273000000000001,43.4729833,-70.3598,0x5e54227b
2026-08-28T00:05:10.000Z,3,bm_do_mg_per_l_mean_17bits,mass_concentration,mg/L,7.401,43.4729833,-70.3598,0x5e54227b
2026-08-28T00:35:10.000Z,2,aanderaa_direction_circ_std_13bits,direction,rad,0.131,43.4729833,-70.3598,0x5e54227b
2026-08-28T00:35:10.000Z,2,aanderaa_reading_count_10bits,reading_count,count,5.0,43.4729833,-70.3598,0x5e54227b
